iter	Logloss
0	0.6926775267
1	0.6921685684
2	0.6916330512
3	0.6912261739
4	0.6908182982
5	0.6903438562
6	0.6898117557
7	0.6894943579
8	0.689009174
9	0.6885752814
10	0.6882375167
11	0.6878283169
12	0.6873274099
13	0.6870682142
14	0.6867006366
15	0.6861166732
16	0.6856762142
17	0.6851077633
18	0.684775676
19	0.6845195122
20	0.6842501932
21	0.6840006322
22	0.6836437539
23	0.6833067949
24	0.6829063852
25	0.6826350924
26	0.6823603803
27	0.6820250334
28	0.681702386
29	0.6812375143
30	0.6808307677
31	0.6805680808
32	0.6802496199
33	0.6799971733
34	0.679617704
35	0.6793916799
36	0.6790909712
37	0.678882496
38	0.6785238392
39	0.6782712846
40	0.6780479745
41	0.677878672
42	0.6776069718
43	0.6771638217
44	0.6768183076
45	0.6765420795
46	0.6761993576
47	0.675901309
48	0.6756013364
49	0.6753382116
50	0.6751325531
51	0.6748378189
52	0.6744928471
53	0.6741654157
54	0.6739239581
55	0.6735221556
56	0.6732663875
57	0.6729728577
58	0.6726716142
59	0.6725399907
60	0.6723206108
61	0.6719209937
62	0.6717608136
63	0.6715295538
64	0.6711836541
65	0.6709548651
66	0.6708240962
67	0.6706327238
68	0.6701947762
69	0.6700052738
70	0.6697612742
71	0.6695177982
72	0.6693418442
73	0.6690865207
74	0.6688553037
75	0.6685784505
76	0.6682282951
77	0.6680808281
78	0.6678272768
79	0.6675864966
80	0.6673596937
81	0.6671997424
82	0.6670228344
83	0.666808357
84	0.6666412373
85	0.6663002125
86	0.6659323315
87	0.6657487989
88	0.665640828
89	0.6654621079
90	0.6651200819
91	0.6648589839
92	0.6645302604
93	0.6643512453
94	0.6641815937
95	0.6639192892
96	0.6636650243
97	0.6633461279
98	0.6629713799
99	0.6628272399
100	0.6626722169
101	0.6623658886
102	0.6621778082
103	0.6619897237
104	0.6617760454
105	0.6616340153
106	0.6614803305
107	0.6612732433
108	0.6608610559
109	0.6606807734
110	0.660325591
111	0.6600004636
112	0.6597918144
113	0.659516235
114	0.6593952072
115	0.6590884168
116	0.6587291683
117	0.6585093725
118	0.6583658708
119	0.6582858736
120	0.6580044943
121	0.6578029325
122	0.6576659862
123	0.6574458641
124	0.6571083873
125	0.6567766729
126	0.6565785288
127	0.656351082
128	0.6561349524
129	0.6559242471
130	0.6557308614
131	0.6555882342
132	0.6553975493
133	0.6551940107
134	0.6548965088
135	0.6546951462
136	0.6545529259
137	0.6543906267
138	0.6541958268
139	0.6540152482
140	0.6538326439
141	0.6535764769
142	0.653296713
143	0.6531505856
144	0.6528774037
145	0.6526701637
146	0.652534276
147	0.6523670064
148	0.652187383
149	0.6518358917
150	0.651580369
151	0.6513109881
152	0.6510175498
153	0.650800146
154	0.6505677475
155	0.6504243568
156	0.6502731674
157	0.6499486322
158	0.6496689297
159	0.6493678517
160	0.6490987329
161	0.6489639932
162	0.6488217093
163	0.6485662067
164	0.6483878095
165	0.6482536234
166	0.6480977966
167	0.6479183296
168	0.6477182949
169	0.6474448524
170	0.6472730815
171	0.6470758026
172	0.6468507295
173	0.6466125914
174	0.6464221974
175	0.6463180304
176	0.6461403827
177	0.6458673587
178	0.6456835041
179	0.6455019414
180	0.645243202
181	0.6448689417
182	0.6447040883
183	0.6444776628
184	0.6442927446
185	0.6441267142
186	0.643919444
187	0.6436389337
188	0.6433423662
189	0.6431560613
190	0.6429963148
191	0.6427768149
192	0.6425305743
193	0.6423084999
194	0.6421740046
195	0.6420414945
196	0.6418526025
197	0.6416167684
198	0.6415011864
199	0.6413183933
200	0.6411307074
201	0.6409939465
202	0.6408749172
203	0.6407497791
204	0.6406072859
205	0.6404684337
206	0.6403369699
207	0.6401143969
208	0.6397709531
209	0.6396329256
210	0.6393942467
211	0.639225958
212	0.6389490336
213	0.6388347556
214	0.6387499904
215	0.638554575
216	0.6384406283
217	0.6382298139
218	0.6380850455
219	0.6377801175
220	0.637588736
221	0.6374381004
222	0.6373283059
223	0.6372235835
224	0.6370069508
225	0.6368438811
226	0.6366414021
227	0.6363480985
228	0.6359199627
229	0.635731878
230	0.6355771563
231	0.6353732794
232	0.6352402021
233	0.6349719626
234	0.6348034695
235	0.6345909475
236	0.6343973665
237	0.6341540161
238	0.6339901311
239	0.6337035895
240	0.6334009783
241	0.6332982093
242	0.6332019134
243	0.6329596423
244	0.6328594766
245	0.6326549199
246	0.6324466238
247	0.6322852354
248	0.6322112819
249	0.6320839584
250	0.6318275968
251	0.6315452251
252	0.6313478929
253	0.6311405955
254	0.6309963563
255	0.630866694
256	0.6305595954
257	0.6303573292
258	0.630211011
259	0.6301259816
260	0.6299166352
261	0.6297356946
262	0.6295717334
263	0.6293186386
264	0.6292273782
265	0.629103561
266	0.6290068328
267	0.6288281243
268	0.6286703873
269	0.6285126207
270	0.6284210349
271	0.6283166981
272	0.6281425726
273	0.6279500233
274	0.6277579691
275	0.6276047203
276	0.6274848472
277	0.6273794342
278	0.6272328987
279	0.6271170997
280	0.6270087035
281	0.6268540658
282	0.626703522
283	0.6264647758
284	0.6263577058
285	0.6263122053
286	0.6261421737
287	0.6260170846
288	0.6258727282
289	0.625756904
290	0.6254859969
291	0.6253493749
292	0.6252844738
293	0.6250205748
294	0.62468211
295	0.6245374087
296	0.6244126037
297	0.6241964088
298	0.6240364542
299	0.6238228328
300	0.6236657657
301	0.6234754269
302	0.6234053884
303	0.6232444127
304	0.623156384
305	0.6230196351
306	0.6227929471
307	0.6226002164
308	0.6224510747
309	0.6221733621
310	0.621968307
311	0.6218180576
312	0.621605973
313	0.6213775423
314	0.6212163302
315	0.6211264096
316	0.6209138563
317	0.6208184235
318	0.6206861346
319	0.6204810223
320	0.6203417564
321	0.6201279867
322	0.6199876313
323	0.619769801
324	0.6196372631
325	0.6193802679
326	0.6192488097
327	0.6190806581
328	0.6188160182
329	0.6186041771
330	0.6183465492
331	0.6182090712
332	0.6180595874
333	0.6179372051
334	0.6177377568
335	0.6175024295
336	0.6173710388
337	0.617241262
338	0.6171528201
339	0.6168926141
